                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68399,                 1.0518,                0.86418,                0.97715,                0.90587,                0.96245,                0.97214,                 0.8227,                0.90587,                0.96245,                0.97214,                0.74385,                0.60752,                 1.2034,                 1.1477,                 1.0329,               0.006964,               0.006964,               0.006964
                     25,                0.67399,                 1.0454,                0.88806,                 0.9963,                0.99599,                0.96667,                0.99403,                0.80131,                0.99599,                0.96667,                0.99403,                0.79549,                0.69052,                 1.1187,                   1.15,                 1.0475,               0.006832,               0.006832,               0.006832
                     26,                0.66398,                 1.1144,                0.87418,                0.98023,                0.94668,                      1,                0.98016,                0.81518,                0.94668,                      1,                0.98016,                0.76816,                0.70239,                 1.0488,                  1.125,                 1.0902,                 0.0067,                 0.0067,                 0.0067
                     27,                0.60995,                 1.0423,                0.86459,                0.96549,                0.96026,                      1,                0.97242,                0.83068,                0.96026,                      1,                0.97242,                0.77591,                0.58821,                0.91362,                 0.9489,                 1.0293,               0.006568,               0.006568,               0.006568
                     28,                0.66263,                 1.0328,                0.83717,                0.95566,                0.93997,                0.96667,                0.97127,                0.82748,                0.93997,                0.96667,                0.97127,                0.77012,                0.55861,                0.97431,                0.88351,                 1.0029,               0.006436,               0.006436,               0.006436
                     29,                0.63361,                 1.0882,                0.77399,                0.96189,                0.92168,                0.96667,                0.97098,                0.80067,                0.92168,                0.96667,                0.97098,                0.77096,                0.57077,                0.90776,                0.96599,                0.98143,               0.006304,               0.006304,               0.006304
                     30,                 0.6408,                0.99412,                0.79304,                0.95091,                0.91697,                      1,                 0.9761,                0.80619,                0.91697,                      1,                 0.9761,                0.78079,                0.59916,                 0.9196,                 1.0107,                0.99245,               0.006172,               0.006172,               0.006172
                     31,                0.73263,                 1.1793,                0.86506,                0.97367,                0.92791,                      1,                0.98879,                0.85361,                0.92791,                      1,                0.98879,                 0.7995,                0.56818,                  1.045,                 1.0164,                0.97998,                0.00604,                0.00604,                0.00604
                     32,                 0.6645,                 1.0911,                0.82294,                0.97126,                0.90026,                0.96667,                0.99147,                0.83557,                0.90026,                0.96667,                0.99147,                0.80544,                0.60012,                0.83943,                0.92447,                 1.0215,               0.005908,               0.005908,               0.005908
                     33,                0.63509,                 1.1295,                0.79568,                0.95253,                0.93167,                      1,                0.99306,                0.82485,                0.93167,                      1,                0.99306,                0.78882,                0.66469,                0.84974,                0.98172,                 1.0623,               0.005776,               0.005776,               0.005776
                     34,                0.67764,                 1.1175,                0.85804,                0.97473,                 0.9332,                      1,                0.98979,                0.82336,                 0.9332,                      1,                0.98979,                 0.7768,                0.63889,                0.88155,                0.90523,                 1.0372,               0.005644,               0.005644,               0.005644
                     35,                0.56132,                 1.0398,                0.74615,                0.92143,                0.90797,                      1,                0.97085,                0.78918,                0.90797,                      1,                0.97085,                0.75243,                0.71359,                0.90776,                0.99177,                 1.0693,               0.005512,               0.005512,               0.005512
                     36,                0.58275,                 1.0101,                0.76217,                0.93219,                0.90595,                      1,                0.97901,                0.81404,                0.90595,                      1,                0.97901,                0.76785,                0.58333,                0.83361,                0.87983,                0.97481,                0.00538,                0.00538,                0.00538
                     37,                0.62342,                0.98404,                0.75019,                0.96031,                0.93209,                      1,                0.98875,                0.82561,                0.93209,                      1,                0.98875,                0.78255,                0.55853,                0.84615,                0.84379,                0.96657,               0.005248,               0.005248,               0.005248
                     38,                0.58181,                  1.008,                0.71271,                 0.9474,                 0.9368,                0.98849,                0.98661,                0.80928,                 0.9368,                0.98849,                0.98661,                0.70461,                0.65257,                 1.9529,                 1.1043,                 1.0807,               0.005116,               0.005116,               0.005116
                     39,                0.60433,                0.99794,                0.68749,                0.92411,                0.90575,                      1,                0.96009,                0.80126,                0.90575,                      1,                0.96009,                0.75758,                0.53615,                0.84782,                0.85876,                0.94587,               0.004984,               0.004984,               0.004984
                     40,                0.55112,                0.98053,                0.71895,                0.91328,                0.93317,                      1,                0.98984,                0.85692,                0.93317,                      1,                0.98984,                 0.7847,                0.48445,                 0.8277,                0.77097,                0.92771,               0.004852,               0.004852,               0.004852
                     41,                0.58724,                 0.9775,                0.67243,                0.93107,                0.95548,                      1,                0.96726,                0.82637,                0.95548,                      1,                0.96726,                0.77336,                0.49301,                0.82013,                0.79987,                0.93141,                0.00472,                0.00472,                0.00472
                     42,                0.59716,                 1.0257,                0.71649,                0.95476,                0.93515,                0.96144,                 0.9647,                0.83955,                0.93515,                0.96144,                 0.9647,                0.77266,                0.47638,                 0.9072,                  0.812,                0.93008,               0.004588,               0.004588,               0.004588
                     43,                0.57813,                 1.0135,                0.69216,                0.92579,                0.93653,                      1,                 0.9779,                0.85048,                0.93653,                      1,                 0.9779,                0.80125,                0.52476,                 0.8224,                0.76367,                0.96611,               0.004456,               0.004456,               0.004456
                     44,                0.57928,                0.96843,                0.67977,                0.93104,                0.93366,                      1,                0.97731,                0.85975,                0.93366,                      1,                0.97731,                0.79436,                0.48554,                0.84535,                 0.7255,                 0.9455,               0.004324,               0.004324,               0.004324
                     45,                0.57796,                0.98601,                0.69733,                0.93633,                0.98622,                0.96667,                0.99312,                0.87458,                0.98622,                0.96667,                0.99312,                0.82703,                0.49658,                0.79775,                0.68135,                0.94519,               0.004192,               0.004192,               0.004192
                     46,                0.54912,                 1.0343,                0.66059,                0.91693,                      1,                0.95847,                0.99312,                0.87056,                      1,                0.95847,                0.99312,                0.82209,                0.51327,                0.77771,                0.67211,                0.96593,                0.00406,                0.00406,                0.00406
                     47,                0.59791,                0.98266,                  0.698,                0.93746,                0.96492,                      1,                0.99403,                0.86183,                0.96492,                      1,                0.99403,                0.80488,                0.54184,                  0.833,                0.69669,                0.97531,               0.003928,               0.003928,               0.003928
                     48,                0.59026,                 1.0459,                0.64557,                0.94068,                0.93129,                      1,                0.98539,                0.84867,                0.93129,                      1,                0.98539,                0.79258,                0.48825,                0.83183,                0.67874,                0.93563,               0.003796,               0.003796,               0.003796
                     49,                0.59604,                0.97618,                0.66887,                0.94636,                0.93345,                      1,                0.98646,                0.86789,                0.93345,                      1,                0.98646,                  0.814,                0.49779,                0.80961,                0.66556,                0.95762,               0.003664,               0.003664,               0.003664
